;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
0;5.1;5.1;5.1;5.1;5.1;5.1;1
1;5.1;5.1;5.1;5.1;5.1;5.1;1
2;1.3;1.7;5.1;5.1;5.1;1.7;1
3;5.1;5.1;5.1;5.1;5.1;5.1;1
4;5.1;5.1;5.1;5.1;5.1;5.1;1
5;5.1;5.1;5.1;5.1;5.1;5.1;1
6;5.1;5.1;5.1;5.1;5.1;5.1;1
7;5.1;5.1;5.1;5.1;5.1;5.1;1
8;5.1;5.1;5.1;5.1;5.1;5.1;1
9;5.1;5.1;5.1;5.1;5.1;5.1;1
10;5.1;5.1;2.0;4.0;5.1;5.1;1
11;5.1;5.1;5.1;5.1;5.1;5.1;1
12;3.7;5.1;1.3;3.0;2.0;3.3;1
13;5.1;5.1;1.0;5.1;5.1;5.1;1
14;1.7;1.0;5.1;5.1;5.1;1.0;1
15;5.1;5.1;5.1;5.1;5.1;5.1;1
16;5.1;5.1;1.3;5.1;1.0;1.0;1
17;5.1;5.1;5.1;5.1;5.1;5.1;1
18;5.1;5.1;5.1;5.1;5.1;5.1;1
19;5.1;5.1;5.1;5.1;5.1;5.1;1
20;5.0;5.0;5.0;5.1;5.1;5.1;1
21;5.1;5.1;5.1;5.1;5.1;5.1;1
22;5.1;5.1;5.1;5.1;5.1;5.1;1
23;5.1;5.1;5.1;5.1;5.1;5.1;1
24;3.0;5.1;5.1;5.1;5.1;5.1;1
25;2.0;1.7;1.0;5.1;5.1;2.3;1
26;5.1;5.1;5.1;5.1;5.1;5.1;1
27;1.7;2.7;1.0;1.7;2.0;2.0;1
28;2.3;1.7;5.1;5.1;5.1;5.1;1
29;2.7;1.0;5.1;2.7;5.1;5.1;1
30;1.0;1.7;1.3;1.0;1.0;1.0;0
31;5.1;5.1;5.1;5.1;5.1;5.1;1
32;5.1;5.1;5.1;5.1;5.1;5.1;1
33;5.1;5.1;1.3;5.1;3.0;5.1;1
34;3.0;5.1;3.0;5.1;5.1;4.0;1
35;5.1;5.1;5.1;5.1;5.1;5.1;1
36;1.3;1.3;1.0;5.1;2.0;1.0;1
37;1.7;1.3;1.0;2.7;1.0;5.1;0
38;5.1;5.1;5.1;5.1;5.1;5.1;1
39;5.1;5.1;5.1;5.1;5.1;5.1;1
40;5.1;5.1;5.1;5.1;5.1;5.1;1
41;1.3;1.7;5.1;5.1;5.1;5.1;1
42;5.1;5.1;5.1;5.1;5.1;5.1;1
43;5.1;5.1;5.1;5.1;5.1;5.1;1
44;1.7;1.7;5.1;5.1;5.1;1.0;1
45;5.1;5.1;5.1;5.1;5.1;5.1;0
46;5.1;5.1;5.1;5.1;5.1;3.7;1
47;5.1;5.1;1.3;5.1;5.1;5.1;1
48;1.7;2.0;1.7;1.0;1.3;1.0;0
49;3.7;3.0;2.3;4.0;5.1;3.0;0
50;5.1;5.1;5.1;5.1;5.1;2.7;1
51;1.7;2.7;1.0;5.0;1.7;2.7;1
52;2.3;5.1;5.1;2.0;5.1;2.3;1
53;5.1;5.1;5.1;5.1;5.1;5.1;1
54;4.0;2.0;5.1;3.0;2.7;5.1;1
55;5.1;5.1;5.1;5.1;5.1;5.1;1
56;1.0;1.0;5.1;1.0;5.1;1.0;0
57;5.1;5.1;5.0;5.1;5.1;5.0;1
58;1.0;2.0;5.1;5.1;5.1;5.1;1
59;5.0;5.0;5.1;5.0;5.1;5.1;1
60;2.7;5.1;2.0;5.0;1.3;5.1;1
61;5.1;5.1;5.1;5.1;5.1;5.1;1
62;5.1;5.1;5.1;5.1;5.1;5.1;1
63;5.1;5.1;1.7;5.1;5.1;5.1;1
64;5.1;5.1;5.1;5.1;5.1;5.1;0
65;5.1;5.1;5.1;5.1;5.1;5.1;0
66;2.3;4.0;1.0;1.0;3.3;5.1;1
67;5.1;5.1;5.1;5.1;5.1;5.1;1
68;5.1;5.1;5.1;5.1;5.1;5.1;1
69;5.1;5.1;5.1;5.1;5.1;5.1;1
70;5.1;5.1;5.1;5.1;5.1;5.1;1
71;5.1;5.1;5.1;5.1;5.1;5.1;0
72;5.1;5.1;5.1;5.1;5.1;5.1;1
73;5.0;5.1;5.1;5.1;2.0;5.0;1
74;5.1;5.1;5.1;5.1;5.1;5.1;1
75;5.1;5.1;5.1;5.1;5.1;5.1;0
76;5.1;5.1;5.1;5.1;5.1;1.3;1
77;1.3;5.1;5.1;5.1;5.1;1.3;1
78;3.3;3.3;2.7;3.7;2.0;2.7;1
79;5.1;5.1;5.1;5.1;5.1;5.1;1
80;5.1;5.1;5.1;5.1;5.1;5.1;1
81;2.0;2.3;1.7;3.0;2.7;1.7;0
82;3.0;2.7;1.0;3.0;2.0;2.3;1
83;2.7;5.1;1.7;5.1;1.7;2.0;1
84;5.1;5.1;5.0;5.1;5.1;5.1;1
85;2.7;5.1;3.0;3.0;5.1;1.7;1
86;5.1;2.3;1.7;5.1;1.3;5.1;0
87;2.0;5.1;5.1;5.1;5.1;1.3;1
88;2.3;2.0;1.3;3.0;3.3;1.3;0
89;5.1;5.1;5.1;5.1;5.1;5.1;1
90;2.3;5.1;5.1;5.1;5.1;1.3;1
91;5.1;5.1;5.1;5.1;5.1;5.1;1
92;5.1;5.1;5.1;5.1;5.1;5.1;0
93;5.1;5.1;5.1;5.1;5.1;5.1;0
94;5.1;3.7;2.0;5.1;5.1;5.1;1
95;2.7;5.1;5.1;4.0;3.0;1.7;0
96;5.1;5.1;1.3;5.1;5.1;3.3;1
97;5.1;5.1;5.1;5.1;5.1;5.1;1
98;5.1;5.1;5.1;5.1;5.1;5.1;1
99;5.1;5.1;5.1;5.1;5.1;5.1;0
100;5.1;5.1;5.1;5.1;5.1;5.1;1
101;5.1;5.1;5.1;5.1;5.1;5.1;1
102;5.1;5.1;5.1;5.1;5.1;5.1;1
103;5.1;1.3;5.1;5.1;1.3;1.7;0
104;5.1;5.1;5.1;5.1;5.1;5.1;1
105;5.1;5.1;5.1;5.1;5.1;5.1;1
