;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;status
0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
1;1.3;1.7;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1
2;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
4;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
5;3.7;4.0;1.3;3.0;2.0;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
6;1.0;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
7;1.7;1.0;1.0;2.7;1.0;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
8;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
9;2.3;2.3;1.3;2.3;1.0;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
10;1.3;2.3;1.7;1.7;2.0;5.1;1.7;1.3;1.0;1.0;2.7;5.1;1
11;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
12;5.0;1.7;5.0;5.1;5.0;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
13;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
14;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
15;3.0;4.0;5.1;5.0;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;1
16;2.0;1.7;1.0;5.0;2.7;2.3;5.1;5.1;5.1;5.1;5.1;5.1;1
17;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
18;1.7;2.7;1.0;1.7;2.0;2.0;2.7;1.3;1.3;5.1;2.7;5.1;1
19;2.3;1.7;5.1;5.1;5.1;5.1;3.0;5.1;2.0;5.1;5.1;5.1;1
20;1.0;1.7;1.3;1.0;1.0;1.0;1.7;1.0;1.0;2.3;2.0;5.1;0
21;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
22;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
23;5.1;5.1;1.3;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
24;3.0;5.1;3.0;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;1
25;1.3;1.3;1.0;1.0;2.0;1.0;1.3;5.1;1.0;5.1;2.0;5.1;1
26;1.7;1.3;1.0;2.7;1.0;5.1;2.3;1.0;1.3;5.1;5.1;5.1;0
27;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
28;1.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
29;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
30;1.7;1.7;5.1;2.0;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
31;4.0;2.7;2.3;4.0;2.3;3.3;2.7;1.7;1.3;3.7;3.0;5.1;0
32;5.1;5.0;5.1;5.1;5.1;3.7;5.1;5.1;5.1;5.1;5.1;5.1;1
33;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
34;1.7;2.0;1.7;1.0;1.3;1.0;1.3;5.1;1.0;1.3;1.0;5.1;0
35;3.7;3.0;2.3;4.0;3.3;3.0;5.1;5.1;1.7;5.1;3.3;5.1;0
36;5.1;5.1;5.1;5.1;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
37;1.7;2.7;1.0;5.0;1.7;2.7;5.1;1.0;1.3;5.0;5.0;5.1;1
38;2.3;5.1;5.1;2.0;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;1
39;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
40;4.0;2.0;5.1;3.0;2.7;1.7;5.1;5.1;5.1;5.1;5.0;5.1;1
41;1.0;1.0;1.3;1.0;5.1;1.0;1.7;5.1;5.1;1.0;5.1;5.1;0
42;1.0;2.0;1.0;1.0;1.3;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
43;2.7;5.1;2.0;5.0;1.3;3.3;5.1;1.3;1.7;5.1;5.1;5.1;1
44;4.0;3.7;2.0;4.0;5.1;3.7;2.7;5.1;5.1;5.1;5.1;5.1;1
45;3.0;5.1;1.7;3.3;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
46;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
47;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
48;2.3;4.0;1.0;1.0;3.3;2.7;4.0;2.0;1.7;2.7;4.0;5.1;1
49;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
50;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
51;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
52;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
53;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
54;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
55;5.1;3.0;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
56;1.3;1.3;2.0;3.0;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
57;3.3;3.3;2.7;3.7;2.0;2.7;4.0;3.0;5.1;5.1;2.7;5.1;1
58;2.0;2.3;1.7;3.0;2.7;1.7;2.7;1.7;1.3;4.0;3.3;5.1;0
59;3.0;2.7;1.0;3.0;2.0;2.3;5.1;1.7;1.3;3.3;5.0;5.1;1
60;2.7;5.0;1.7;3.3;1.7;2.0;5.1;5.1;1.0;5.1;5.1;5.1;1
61;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
62;2.7;4.0;3.0;3.0;1.3;1.7;5.1;5.1;5.1;5.1;4.0;5.1;1
63;2.0;2.3;1.7;3.0;1.3;5.1;3.7;2.0;5.1;5.1;5.1;5.1;0
64;2.3;2.0;1.3;3.0;3.3;1.3;1.3;3.3;1.3;2.7;2.0;5.1;0
65;2.3;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
66;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
