;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
0;5.1;5.1;5.1;5.1;5.1;5.1;1
1;5.1;5.1;5.1;5.1;5.1;5.1;1
2;1.7;5.1;5.1;3.3;1.7;5.1;1
3;5.1;5.1;5.1;5.1;5.1;5.1;1
4;5.1;5.1;5.1;5.1;5.1;5.1;1
5;5.1;5.1;5.1;5.1;5.1;5.1;1
6;5.1;5.1;5.1;5.1;1.7;5.1;1
7;5.1;5.1;5.1;5.1;5.1;5.1;1
8;2.3;1.7;5.1;1.0;5.1;5.1;1
9;1.7;3.0;5.1;1.0;1.7;1.7;0
10;2.3;3.3;1.3;5.1;2.0;5.1;0
11;2.7;5.1;1.7;5.0;5.1;3.3;1
12;1.7;3.3;5.1;3.0;2.0;3.7;0
13;5.1;5.1;5.1;5.1;5.1;5.1;1
14;3.3;5.1;5.1;1.0;2.3;5.1;1
15;5.1;5.1;5.1;5.1;2.3;5.1;1
16;5.1;5.1;5.1;5.1;5.1;5.1;1
17;5.1;5.1;5.1;5.1;5.1;5.1;1
18;5.1;5.1;5.1;5.1;5.1;5.1;1
19;5.1;5.1;5.1;5.1;5.1;5.1;1
20;4.0;5.1;2.7;3.0;1.3;5.1;0
21;3.0;3.3;2.7;5.0;1.3;2.0;0
22;5.0;5.0;5.0;5.0;5.0;5.0;1
23;5.1;5.1;5.1;5.1;2.0;5.1;1
24;5.1;3.0;5.1;2.3;5.1;5.1;0
25;2.3;1.7;5.1;1.0;1.3;5.1;0
26;5.1;5.1;5.1;5.1;5.1;5.1;1
27;5.1;5.1;5.1;5.1;5.1;5.1;1
28;5.1;5.1;5.1;5.1;5.1;5.1;1
29;5.1;5.1;5.1;5.1;5.1;5.1;1
30;5.1;5.1;5.1;5.1;5.1;5.1;1
31;5.1;5.1;5.1;5.1;5.1;5.1;1
32;5.1;5.1;5.1;5.1;5.1;5.1;1
33;5.1;4.0;5.1;2.0;5.1;5.1;0
34;5.1;5.1;5.1;5.1;5.1;5.1;1
35;5.1;5.1;5.1;5.1;5.1;5.1;1
36;3.0;5.0;5.1;4.0;5.0;5.0;1
37;2.0;2.0;1.3;4.0;1.7;1.7;1
38;5.1;1.7;5.1;5.1;1.7;5.1;0
39;5.1;5.1;5.1;5.1;5.1;5.1;1
40;5.1;5.1;5.1;5.1;5.1;5.0;1
41;4.0;1.3;5.1;5.0;5.1;5.1;1
42;5.1;5.1;5.1;5.1;5.1;5.1;1
43;5.1;5.1;5.1;5.1;5.1;5.1;1
44;5.1;5.1;5.1;5.1;5.1;5.1;1
45;2.7;2.3;5.1;5.1;5.1;3.0;0
46;1.3;1.0;5.1;1.3;1.3;5.1;0
47;5.0;5.1;2.7;5.1;2.3;5.1;0
48;5.1;5.1;5.1;5.1;5.1;5.1;1
49;5.1;5.1;5.1;5.1;5.1;5.1;1
50;5.1;5.1;5.1;5.1;5.1;5.1;1
51;5.1;1.7;5.1;1.3;1.7;5.1;0
52;5.1;5.1;5.1;5.1;5.1;5.1;1
53;5.1;5.1;5.1;5.1;5.1;5.1;1
54;5.1;5.1;5.1;5.1;5.1;5.1;1
55;5.1;5.1;5.1;5.1;5.1;5.1;1
56;5.1;5.1;5.1;5.1;5.1;5.1;1
57;5.1;1.7;5.1;5.1;5.1;2.0;1
58;5.1;5.1;5.1;5.1;1.0;5.1;1
59;5.0;5.0;2.0;5.1;5.1;5.1;1
60;5.1;5.1;5.1;5.1;5.1;5.1;1
61;5.1;5.1;5.1;5.1;5.1;5.1;1
62;2.3;5.1;1.7;1.0;2.0;2.7;1
63;5.1;5.1;5.1;5.1;5.1;5.1;1
64;5.1;5.1;5.1;5.1;5.1;5.1;1
65;3.0;5.1;5.1;5.1;5.1;5.1;0
66;5.1;5.1;5.1;5.1;5.1;5.1;1
67;5.1;5.1;5.1;5.1;5.1;5.1;1
68;5.1;5.1;5.1;5.1;5.1;5.1;0
69;5.1;5.1;5.1;5.1;5.1;5.1;1
70;5.1;1.7;5.1;5.1;1.0;5.1;1
71;5.0;5.1;2.0;5.1;2.3;5.0;1
72;5.1;5.1;5.1;5.1;5.1;5.1;1
73;5.1;5.1;5.1;5.1;5.1;5.1;1
74;5.1;5.1;5.1;5.1;1.3;5.1;1
75;5.1;5.1;5.1;5.1;5.1;5.1;1
76;5.0;5.1;3.0;5.0;5.1;5.0;1
77;5.1;5.1;5.1;5.1;5.1;5.1;1
78;5.1;5.1;2.7;5.1;5.1;5.1;1
79;2.3;3.0;1.0;1.0;1.7;1.0;0
80;5.1;5.1;5.1;5.1;5.1;5.1;1
81;5.1;5.1;1.0;5.1;5.1;1.7;1
82;3.7;2.0;2.3;3.0;2.0;3.3;0
83;5.1;5.1;5.1;5.1;5.1;5.1;1
84;5.1;5.1;5.1;5.1;5.1;5.1;1
85;5.1;5.1;5.1;5.1;1.7;5.1;1
86;5.1;4.0;3.0;3.0;2.7;2.0;0
87;5.1;2.0;5.1;1.0;1.3;5.1;0
88;5.1;5.1;5.1;5.1;5.1;5.1;1
89;2.3;1.0;1.7;2.0;1.7;1.3;0
90;5.1;3.0;2.7;5.0;2.7;4.0;1
91;4.0;1.7;5.1;5.1;2.0;1.7;1
92;5.1;5.1;5.1;1.0;5.1;5.1;1
93;5.1;5.1;5.1;5.1;5.1;5.1;1
94;5.1;5.1;5.1;5.1;1.3;5.1;0
95;5.1;5.1;5.1;5.1;5.1;5.1;1
96;3.0;2.3;5.1;5.1;5.1;2.7;1
97;3.3;5.1;5.1;5.1;5.1;3.0;0
98;5.1;5.1;1.0;1.0;1.3;5.1;0
99;3.3;1.7;3.3;4.0;1.3;5.1;1
100;4.0;5.1;5.1;5.1;5.1;5.1;1
101;5.1;5.1;5.1;5.1;5.1;5.1;1
102;5.1;5.1;5.1;5.1;5.1;5.1;1
103;5.1;5.1;5.1;5.1;1.7;5.1;1
104;2.3;5.1;1.0;5.1;1.0;1.0;0
105;5.0;5.0;5.1;5.1;5.1;5.0;1
