;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;status
0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
1;1.7;5.1;5.1;3.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
2;5.1;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
3;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
4;2.3;1.7;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1.0;5.1;1
5;1.7;3.0;1.3;1.0;1.7;1.7;1.3;5.1;5.1;5.1;1.0;5.1;0
6;2.3;3.3;1.3;3.3;2.0;3.3;5.1;5.1;3.3;5.1;5.1;5.1;0
7;2.7;5.1;1.7;2.0;5.1;3.3;5.1;5.1;1.7;5.0;5.1;5.1;1
8;1.7;3.3;1.7;3.0;2.0;3.7;5.1;5.1;2.3;5.1;4.0;5.1;0
9;3.3;5.1;5.1;1.0;2.3;5.1;5.1;5.1;1.3;5.1;2.3;5.1;1
10;5.1;5.1;5.1;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
11;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
12;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
13;4.0;5.1;2.7;3.0;1.3;5.1;5.1;1.3;2.3;5.1;3.7;5.1;0
14;3.0;3.3;2.7;3.0;1.3;2.0;3.3;1.3;2.3;3.3;5.0;5.1;0
15;5.0;5.0;5.0;5.0;5.0;5.0;5.1;1.7;3.7;5.1;5.1;5.1;1
16;5.1;5.1;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
17;4.0;3.0;2.0;2.3;5.1;2.0;5.1;5.1;5.1;5.1;2.7;5.1;0
18;2.3;1.7;5.1;1.0;1.3;1.7;1.3;1.3;1.7;5.1;1.7;5.1;0
19;5.1;5.0;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
20;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
21;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
22;4.0;5.1;2.7;5.1;5.1;5.0;5.1;5.1;3.3;5.1;5.1;5.1;1
23;2.3;4.0;1.0;2.0;5.1;5.1;2.7;5.1;2.3;5.1;3.7;5.1;0
24;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
25;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
26;3.0;5.0;5.1;4.0;5.0;5.0;5.1;5.1;5.1;5.0;1.7;5.1;1
27;2.0;2.0;1.3;4.0;1.7;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1
28;1.3;1.7;5.1;5.1;1.7;1.0;5.1;5.1;1.3;5.1;5.1;5.1;0
29;5.1;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
30;2.7;2.3;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;0
31;1.3;1.0;5.1;1.3;1.3;5.1;1.0;1.3;5.1;2.3;1.0;5.1;0
32;2.0;2.7;2.7;5.1;2.3;5.1;5.1;1.0;5.1;5.1;5.1;5.1;0
33;5.1;5.1;2.7;5.1;5.1;5.1;5.1;1.3;2.7;5.1;5.1;5.1;1
34;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
35;5.1;1.7;1.3;1.3;1.7;5.1;2.3;1.7;5.1;5.1;4.0;5.1;0
36;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
37;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
38;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
39;5.1;1.7;1.3;5.1;5.1;2.0;5.1;5.1;5.1;5.1;1.0;5.1;1
40;5.1;5.1;1.7;5.1;1.0;5.1;5.1;1.3;1.3;5.1;5.1;5.1;1
41;5.0;5.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
42;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
43;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
44;2.3;4.0;1.7;1.0;2.0;2.7;5.1;1.7;2.3;5.0;1.3;5.1;1
45;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
46;5.1;3.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
47;3.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;0
48;5.1;1.0;1.0;5.1;5.1;5.1;5.1;5.1;1.7;5.1;2.7;5.1;0
49;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
50;5.0;5.1;2.0;5.1;2.3;5.0;5.1;2.0;3.7;5.0;5.0;5.1;1
51;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
52;4.0;1.3;5.1;5.1;1.3;5.1;5.1;1.3;5.1;5.1;5.1;5.1;1
53;3.3;5.0;3.0;3.7;5.1;3.7;5.1;5.1;5.1;5.1;5.1;5.1;1
54;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
55;5.1;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
56;2.3;3.0;1.0;1.0;1.7;1.0;2.0;2.0;1.7;3.0;1.0;5.1;0
57;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
58;1.3;2.0;1.0;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1
59;3.7;2.0;2.3;3.0;2.0;3.3;2.7;1.7;2.7;2.3;4.0;5.1;0
60;5.1;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
61;5.1;4.0;3.0;3.0;2.7;2.0;5.1;5.1;5.1;5.1;5.0;5.1;0
62;1.0;2.0;1.0;1.0;1.3;1.3;5.1;5.1;1.0;1.3;3.0;5.1;0
63;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
64;2.3;1.0;1.7;2.0;1.7;1.3;1.0;1.3;1.7;2.3;4.0;5.1;0
65;2.7;3.0;2.7;4.0;2.7;4.0;2.3;2.0;2.7;5.0;5.0;5.1;1
66;4.0;1.7;3.0;5.0;2.0;1.7;1.7;2.0;2.3;5.1;5.1;5.1;1
67;2.7;1.7;1.0;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1.0;5.1;1
68;4.0;2.3;2.3;2.0;1.3;3.0;5.1;5.1;5.1;5.1;5.1;5.1;0
69;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
70;3.0;2.3;5.1;5.1;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
71;3.3;2.7;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;3.3;5.1;0
72;2.7;3.0;1.0;1.0;1.3;2.0;5.1;1.3;1.3;3.3;2.3;5.1;0
73;3.3;1.7;3.3;4.0;1.3;5.1;5.1;5.1;2.3;5.1;5.1;5.1;1
74;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
