M01_3_N,M02_3_N,M03_3_N,M04_3_N,M05_3_N,M06_3_N,M07_3_N,M08_3_N,M09_3_N,M10_3_N,M11_3_N,M12_3_N,M13_3_N,M14_3_N,M15_3_N,M16_3_N,M17_3_N,status
1.7,5.1,5.1,3.3,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.7,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,1.7,5.1,1.0,5.1,5.1,5.1,5.1,5.1,1.0,1.0,5.1,5.1,5.1,5.1,1.3,5.1,1
1.7,3.0,1.3,1.0,1.7,1.7,1.3,5.1,2.0,2.0,1.0,5.1,5.1,1.0,5.1,1.3,5.1,0
2.3,3.3,1.3,3.3,2.0,3.3,5.1,5.1,3.3,3.3,5.0,5.1,5.1,5.1,5.1,1.7,5.1,0
2.7,4.0,1.7,2.0,5.1,3.3,5.1,5.1,1.7,3.7,5.0,5.1,5.1,5.1,5.1,1.7,5.1,1
1.7,3.3,1.7,3.0,2.0,3.7,5.1,5.1,2.3,3.3,4.0,5.1,3.0,3.0,5.1,1.0,5.1,0
3.3,5.1,1.3,1.0,2.3,5.1,5.1,5.1,1.3,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.1,2.7,3.0,1.3,5.1,5.1,1.3,2.3,4.0,3.7,5.1,5.1,5.1,5.1,1.3,5.1,0
3.0,3.3,2.7,3.0,1.3,2.0,3.3,1.3,2.3,3.3,5.0,5.1,3.3,1.0,4.0,1.3,5.1,0
5.0,5.0,5.0,5.0,5.0,5.0,5.1,1.7,3.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,3.0,2.0,2.3,5.1,2.0,5.1,5.1,2.0,5.1,2.7,5.1,5.1,5.1,5.1,1.3,5.1,0
2.3,1.7,5.1,1.0,1.3,1.7,1.3,1.3,1.7,1.7,1.7,5.1,1.7,1.0,5.1,1.0,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.1,2.7,5.1,5.1,5.0,5.1,5.1,3.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,4.0,1.0,2.0,5.1,5.1,2.7,5.1,2.3,3.0,3.7,5.1,5.1,5.1,5.1,1.3,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.7,1.0,1.7,1.7,1.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,1.3,5.1,0
5.1,5.1,5.1,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,2.3,5.1,5.1,5.1,3.0,5.1,5.1,5.1,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,0
1.3,1.0,1.3,1.3,1.3,5.1,1.0,1.3,5.1,2.3,1.0,5.1,2.0,1.3,5.1,1.0,1.7,0
2.0,2.7,2.7,5.1,2.3,5.1,5.1,1.0,5.1,4.0,5.1,5.1,5.1,1.0,5.1,1.3,5.1,0
4.0,5.1,2.7,5.1,5.1,5.1,5.1,1.3,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,1.7,1.3,1.3,1.7,5.1,2.3,1.7,1.3,5.1,4.0,5.1,5.1,5.1,5.1,1.3,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.7,5.1,1.0,5.1,5.1,1.3,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,3.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,1.3,5.1,0
3.0,1.0,1.0,1.0,5.1,5.1,5.1,5.1,1.7,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.0,2.7,2.0,5.1,2.3,5.0,5.1,2.0,3.7,5.0,5.0,5.1,5.1,5.1,5.1,2.0,5.1,1
3.3,3.0,1.0,3.3,5.1,5.1,5.1,5.1,3.7,5.1,3.3,5.1,5.1,1.3,5.1,5.1,5.1,1
4.0,1.3,5.1,2.0,1.3,5.1,5.1,1.3,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,3.0,1.0,1.0,1.7,1.0,2.0,2.0,1.7,3.0,1.0,5.1,5.1,5.1,5.1,1.7,1.0,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,2.0,1.0,5.1,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.7,2.0,2.3,3.0,2.0,3.3,2.7,1.7,2.7,2.3,4.0,5.1,4.0,4.0,3.0,2.7,3.3,0
5.1,5.1,5.1,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,4.0,3.0,3.0,2.7,2.0,5.1,5.1,1.7,5.0,5.0,5.1,5.1,5.1,5.1,1.3,5.1,0
1.0,2.0,1.0,1.0,1.3,1.3,5.1,5.1,1.0,1.3,3.0,5.1,5.1,5.1,5.1,1.3,1.0,0
2.3,1.0,1.7,2.0,1.7,1.3,1.0,1.3,1.7,2.3,4.0,5.1,5.1,1.0,5.1,1.3,1.0,0
4.0,1.7,3.0,5.0,2.0,1.7,1.7,2.0,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,1.7,1.0,1.0,5.1,5.1,5.1,5.1,5.1,5.1,1.0,5.1,5.1,5.1,5.1,1.7,5.1,1
4.0,2.3,2.3,2.0,1.3,3.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,2.3,5.1,5.1,5.1,2.7,5.1,5.1,5.1,3.7,5.1,5.1,5.1,5.1,5.1,5.1,1.3,1
3.3,2.7,5.1,5.1,5.1,3.0,5.1,5.1,5.1,5.1,3.3,5.1,5.1,5.1,5.1,1.7,5.1,0
2.7,3.0,1.0,1.0,1.3,2.0,5.1,1.3,1.3,3.3,2.3,5.1,5.1,5.1,5.1,1.7,1.7,0
3.3,1.7,3.3,4.0,1.3,5.1,5.1,5.1,2.3,5.1,5.0,5.1,5.1,2.3,5.1,1.0,1.0,1
