;student;no_passed_courses_1;no_of_failed_courses_1;no_of_unattempted_courses_1;avg_grade_all_courses_1;label
0;200;1.0;0.0;0.0;2.0;0
1;254;3.0;0.0;0.0;3.3;0
2;256;2.0;0.0;0.0;3.6;0
3;289;0.0;2.0;0.0;5.0;0
4;290;6.0;0.0;0.0;2.0;1
5;291;2.0;0.0;0.0;1.6;1
6;292;1.0;0.0;0.0;2.0;1
7;293;6.0;0.0;0.0;1.6;1
8;294;6.0;0.0;0.0;1.8;1
9;317;2.0;0.0;0.0;1.7;1
10;330;7.0;1.0;0.0;3.2;1
11;337;6.0;0.0;0.0;2.2;0
12;338;5.0;1.0;0.0;3.3;1
13;339;6.0;0.0;0.0;2.2;1
14;340;3.0;0.0;0.0;3.3;0
15;341;6.0;0.0;0.0;1.5;1
16;342;4.0;0.0;0.0;2.0;1
17;343;3.0;1.0;0.0;2.8;0
18;344;0.0;2.0;0.0;5.0;0
19;345;1.0;1.0;0.0;3.4;0
20;346;0.0;4.0;0.0;5.0;0
21;347;5.0;0.0;0.0;2.1;0
22;350;5.0;0.0;0.0;1.4;1
23;351;3.0;3.0;0.0;4.5;0
24;353;7.0;0.0;0.0;2.4;0
25;354;4.0;0.0;0.0;1.5;1
26;355;5.0;1.0;0.0;2.8;0
27;367;2.0;1.0;0.0;3.1;0
28;369;2.0;0.0;0.0;3.8;0
29;371;3.0;0.0;0.0;2.0;1
30;373;4.0;2.0;0.0;3.3;1
31;374;4.0;0.0;0.0;1.8;1
32;381;4.0;0.0;0.0;3.4;0
33;384;3.0;0.0;0.0;3.5;0
34;385;2.0;0.0;0.0;2.6;0
35;386;4.0;1.0;0.0;3.1;0
36;387;3.0;1.0;0.0;2.8;0
37;389;6.0;0.0;0.0;2.2;1
38;390;6.0;0.0;0.0;1.8;1
39;391;2.0;1.0;0.0;3.2;0
40;392;4.0;1.0;0.0;2.8;0
41;393;0.0;1.0;0.0;5.0;0
42;394;1.0;0.0;0.0;4.0;0
43;411;2.0;3.0;0.0;4.1;0
44;419;1.0;2.0;0.0;3.9;0
45;420;2.0;0.0;0.0;2.4;0
46;441;6.0;0.0;0.0;2.2;1
47;442;2.0;1.0;0.0;3.2;0
48;443;6.0;0.0;0.0;2.2;1
49;444;3.0;0.0;0.0;2.4;1
50;446;7.0;0.0;0.0;1.6;0
51;447;2.0;1.0;0.0;3.1;0
52;448;6.0;0.0;0.0;1.6;1
53;449;5.0;2.0;0.0;3.3;0
54;465;5.0;0.0;0.0;3.2;1
55;471;3.0;0.0;0.0;2.1;0
56;472;2.0;3.0;0.0;4.2;0
57;474;10.0;2.0;0.0;3.4;0
58;475;3.0;0.0;0.0;2.2;1
60;482;0.0;1.0;0.0;5.0;1
61;484;1.0;1.0;0.0;4.4;1
62;486;2.0;0.0;0.0;2.5;1
63;489;6.0;0.0;0.0;1.5;1
64;490;6.0;0.0;0.0;2.5;1
65;491;6.0;0.0;0.0;2.4;1
66;492;2.0;0.0;0.0;1.8;1
67;493;3.0;0.0;0.0;3.6;1
68;498;2.0;1.0;0.0;3.7;0
69;500;8.0;0.0;0.0;2.2;1
70;520;4.0;0.0;0.0;1.4;0
71;521;6.0;0.0;0.0;3.3;1
72;523;4.0;0.0;0.0;2.2;1
73;533;6.0;0.0;0.0;2.1;1
74;534;3.0;0.0;0.0;1.2;1
75;535;1.0;0.0;0.0;2.7;0
76;537;5.0;0.0;0.0;1.5;0
77;538;2.0;0.0;0.0;2.0;1
78;539;1.0;0.0;0.0;2.7;0
79;540;10.0;0.0;0.0;2.7;1
80;541;3.0;0.0;0.0;1.5;0
81;542;5.0;0.0;0.0;1.9;1
82;543;3.0;0.0;0.0;1.1;1
83;544;3.0;0.0;0.0;2.2;0
84;545;6.0;0.0;0.0;1.4;1
85;547;3.0;0.0;0.0;2.0;1
86;548;5.0;0.0;0.0;2.8;1
87;550;3.0;0.0;0.0;2.7;0
88;551;5.0;0.0;0.0;2.2;0
89;552;6.0;0.0;0.0;2.4;0
90;553;2.0;0.0;0.0;2.8;0
91;570;3.0;0.0;0.0;1.9;1
92;571;2.0;0.0;0.0;3.7;0
93;572;1.0;1.0;0.0;4.4;0
94;573;2.0;0.0;0.0;2.0;1
95;575;2.0;1.0;0.0;3.2;0
96;608;8.0;0.0;5.0;2.1;0
98;613;3.0;0.0;0.0;1.8;0
99;614;2.0;2.0;0.0;3.8;0
100;615;3.0;0.0;0.0;2.7;1
101;616;4.0;0.0;0.0;2.8;0
102;617;3.0;1.0;0.0;2.9;1
103;618;5.0;0.0;0.0;2.5;0
104;619;4.0;0.0;0.0;1.7;1
105;620;1.0;1.0;0.0;3.5;0
106;622;6.0;0.0;0.0;1.9;1
107;623;4.0;0.0;0.0;1.8;1
108;625;1.0;0.0;1.0;1.0;1
109;626;6.0;0.0;0.0;3.2;0
111;628;3.0;0.0;0.0;2.1;1
112;629;1.0;1.0;0.0;3.8;0
113;630;2.0;0.0;1.0;1.6;0
114;631;2.0;0.0;0.0;3.8;0
115;632;2.0;0.0;0.0;1.4;1
116;695;8.0;2.0;0.0;3.1;0
117;696;3.0;2.0;0.0;3.5;0
118;698;6.0;0.0;0.0;2.3;1
119;700;0.0;2.0;0.0;5.0;0
120;701;9.0;0.0;0.0;2.0;0
121;704;9.0;0.0;1.0;2.4;0
122;705;3.0;1.0;0.0;3.4;0
123;706;1.0;1.0;0.0;4.2;0
124;708;4.0;0.0;2.0;2.6;0
125;710;4.0;0.0;0.0;1.1;1
126;711;3.0;0.0;0.0;1.0;1
127;715;0.0;1.0;0.0;5.0;0
128;716;1.0;1.0;0.0;3.8;0
129;717;3.0;0.0;0.0;1.8;0
131;719;12.0;0.0;0.0;2.8;1
132;720;6.0;0.0;0.0;2.0;1
134;723;5.0;0.0;0.0;2.1;1
135;724;3.0;1.0;0.0;2.8;1
136;725;6.0;0.0;0.0;2.3;1
137;726;5.0;0.0;0.0;2.5;0
138;727;2.0;1.0;0.0;2.9;1
139;728;4.0;1.0;0.0;2.3;1
140;729;6.0;0.0;0.0;1.7;1
141;730;3.0;0.0;0.0;1.3;1
142;731;14.0;0.0;0.0;3.0;1
144;736;12.0;0.0;0.0;2.0;0
145;738;2.0;0.0;0.0;2.2;0
146;740;3.0;0.0;0.0;2.6;1
147;741;4.0;1.0;0.0;3.0;0
148;742;5.0;0.0;0.0;1.2;1
150;744;5.0;0.0;0.0;2.1;0
151;746;2.0;0.0;0.0;2.6;0
152;751;1.0;1.0;0.0;3.4;0
153;778;3.0;0.0;0.0;2.1;0
154;779;3.0;0.0;0.0;1.4;0
155;780;5.0;0.0;0.0;1.9;1
156;781;5.0;0.0;0.0;1.9;1
157;783;5.0;0.0;0.0;1.5;1
158;787;3.0;0.0;0.0;3.3;1
159;788;7.0;1.0;0.0;2.8;1
160;789;3.0;0.0;0.0;2.5;0
161;790;12.0;0.0;0.0;1.8;1
163;792;6.0;0.0;0.0;2.6;1
164;793;3.0;0.0;0.0;1.8;1
166;795;1.0;1.0;0.0;3.4;0
167;797;6.0;0.0;0.0;2.2;1
168;798;4.0;1.0;0.0;3.3;0
169;799;6.0;0.0;0.0;2.6;1
170;805;6.0;0.0;0.0;1.5;0
172;809;13.0;0.0;0.0;1.9;1
173;810;1.0;0.0;0.0;1.7;0
176;820;2.0;0.0;0.0;1.8;0
178;822;4.0;1.0;0.0;3.3;0
179;828;3.0;0.0;0.0;2.9;0
180;830;6.0;0.0;0.0;2.1;1
181;832;6.0;0.0;0.0;2.0;1
182;833;4.0;1.0;0.0;2.9;0
183;837;6.0;0.0;0.0;1.4;1
184;840;2.0;0.0;0.0;2.0;0
185;842;2.0;1.0;0.0;3.1;0
187;847;5.0;0.0;0.0;1.6;1
189;888;3.0;0.0;0.0;2.7;1
190;889;4.0;0.0;0.0;2.4;0
191;891;6.0;0.0;0.0;2.8;1
192;894;1.0;0.0;0.0;1.7;1
193;897;6.0;0.0;0.0;2.1;1
194;902;3.0;1.0;0.0;3.1;0
198;911;4.0;0.0;0.0;1.7;1
199;915;5.0;0.0;0.0;2.5;1
200;916;2.0;0.0;0.0;1.2;0
201;917;4.0;1.0;0.0;2.5;0
202;918;2.0;0.0;0.0;1.2;1
203;920;7.0;1.0;0.0;3.2;1
204;924;0.0;0.0;2.0;0.0;0
205;926;3.0;0.0;0.0;1.7;0
207;937;3.0;0.0;0.0;2.7;0
208;940;0.0;1.0;1.0;5.0;0
209;944;0.0;0.0;3.0;0.0;0
210;946;2.0;0.0;0.0;1.2;0
212;976;2.0;0.0;0.0;2.5;0
214;979;3.0;0.0;0.0;3.2;1
215;982;2.0;0.0;3.0;2.5;0
219;990;2.0;0.0;0.0;2.0;0
220;991;2.0;1.0;0.0;3.4;0
221;995;6.0;0.0;0.0;2.6;1
223;999;2.0;0.0;2.0;1.5;0
224;1000;3.0;0.0;0.0;2.0;0
229;1009;3.0;0.0;0.0;1.9;1
230;1011;11.0;3.0;0.0;2.8;0
231;1012;3.0;0.0;0.0;1.7;1
233;1017;3.0;0.0;0.0;2.2;0
234;1018;4.0;1.0;0.0;2.3;0
235;1022;3.0;0.0;0.0;2.4;0
236;1025;3.0;0.0;0.0;2.3;1
237;1032;0.0;1.0;1.0;5.0;0
238;1034;6.0;0.0;0.0;1.6;1
239;1036;4.0;0.0;0.0;1.5;0
241;1040;1.0;1.0;0.0;3.6;0
245;1067;0.0;0.0;4.0;0.0;0
246;1068;0.0;0.0;3.0;0.0;0
248;1074;11.0;0.0;2.0;2.3;1
250;1077;0.0;0.0;4.0;0.0;0
252;1082;0.0;0.0;6.0;0.0;0
253;1084;0.0;0.0;3.0;0.0;0
254;1086;5.0;0.0;0.0;1.7;0
256;1089;0.0;0.0;1.0;0.0;0
258;1095;3.0;0.0;0.0;1.5;0
259;1097;6.0;0.0;0.0;2.4;1
261;1099;0.0;0.0;4.0;0.0;0
