,student,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
0,289,1.0,1.0,0.0,4.2,0.0,2.0,0.0,5.0,0
1,290,6.0,0.0,0.0,2.1,6.0,0.0,0.0,2.0,1
2,291,8.0,0.0,0.0,1.5,2.0,0.0,0.0,1.6,1
3,292,7.0,0.0,0.0,1.3,1.0,0.0,0.0,2.0,1
4,293,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.6,1
5,294,6.0,0.0,0.0,1.5,6.0,0.0,0.0,1.8,1
6,317,4.0,0.0,0.0,2.3,2.0,0.0,0.0,1.7,1
7,330,3.0,2.0,0.0,3.6,7.0,1.0,0.0,3.2,1
8,337,6.0,0.0,0.0,2.2,6.0,0.0,0.0,2.2,0
9,338,6.0,1.0,0.0,3.5,5.0,1.0,0.0,3.3,1
10,339,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.2,1
11,340,0.0,3.0,0.0,5.0,3.0,0.0,0.0,3.3,0
12,341,6.0,0.0,0.0,1.6,6.0,0.0,0.0,1.5,1
13,342,4.0,0.0,0.0,2.3,4.0,0.0,0.0,2.0,1
14,343,3.0,0.0,0.0,2.1,3.0,1.0,0.0,2.8,0
15,347,0.0,5.0,0.0,5.0,5.0,0.0,0.0,2.1,0
16,350,5.0,0.0,0.0,1.5,5.0,0.0,0.0,1.4,1
17,352,5.0,0.0,0.0,3.3,0.0,0.0,0.0,5.1,0
18,354,5.0,0.0,0.0,1.8,4.0,0.0,0.0,1.5,1
19,355,5.0,0.0,0.0,2.6,5.0,1.0,0.0,2.8,0
20,367,0.0,2.0,0.0,5.0,2.0,1.0,0.0,3.1,0
21,369,0.0,2.0,2.0,5.0,2.0,0.0,0.0,3.8,0
22,371,4.0,0.0,0.0,1.3,3.0,0.0,0.0,2.0,1
23,373,3.0,0.0,0.0,3.2,4.0,2.0,0.0,3.3,1
24,374,4.0,0.0,0.0,1.9,4.0,0.0,0.0,1.8,1
25,381,1.0,3.0,0.0,4.8,4.0,0.0,0.0,3.4,0
26,387,3.0,1.0,0.0,2.5,3.0,1.0,0.0,2.8,0
27,389,5.0,0.0,0.0,2.0,6.0,0.0,0.0,2.2,1
