,student,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
0,289,0.0,1.0,0.0,5.0,1.0,1.0,0.0,4.2,0.0,2.0,0.0,5.0,0
1,290,5.0,0.0,0.0,2.4,6.0,0.0,0.0,2.1,6.0,0.0,0.0,2.0,1
2,291,3.0,0.0,0.0,2.2,8.0,0.0,0.0,1.5,2.0,0.0,0.0,1.6,1
3,292,3.0,0.0,0.0,1.6,7.0,0.0,0.0,1.3,1.0,0.0,0.0,2.0,1
4,293,6.0,0.0,0.0,1.4,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.6,1
5,294,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.5,6.0,0.0,0.0,1.8,1
6,317,3.0,0.0,0.0,2.3,4.0,0.0,0.0,2.3,2.0,0.0,0.0,1.7,1
7,321,1.0,0.0,0.0,1.7,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
8,330,5.0,1.0,0.0,3.2,3.0,2.0,0.0,3.6,7.0,1.0,0.0,3.2,1
9,338,6.0,1.0,0.0,3.5,6.0,1.0,0.0,3.5,5.0,1.0,0.0,3.3,1
10,339,6.0,0.0,0.0,3.0,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.2,1
11,340,0.0,2.0,0.0,5.0,0.0,3.0,0.0,5.0,3.0,0.0,0.0,3.3,0
12,341,6.0,0.0,0.0,1.9,6.0,0.0,0.0,1.6,6.0,0.0,0.0,1.5,1
13,342,4.0,0.0,0.0,2.8,4.0,0.0,0.0,2.3,4.0,0.0,0.0,2.0,1
14,345,2.0,0.0,0.0,2.8,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
15,350,9.0,0.0,0.0,2.1,5.0,0.0,0.0,1.5,5.0,0.0,0.0,1.4,1
16,352,1.0,1.0,0.0,4.5,5.0,0.0,0.0,3.3,0.0,0.0,0.0,5.1,0
17,354,5.0,0.0,0.0,1.9,5.0,0.0,0.0,1.8,4.0,0.0,0.0,1.5,1
18,355,0.0,2.0,0.0,5.0,5.0,0.0,0.0,2.6,5.0,1.0,0.0,2.8,0
19,369,0.0,1.0,0.0,5.0,0.0,2.0,2.0,5.0,2.0,0.0,0.0,3.8,0
20,371,4.0,0.0,0.0,1.8,4.0,0.0,0.0,1.3,3.0,0.0,0.0,2.0,1
21,373,3.0,0.0,0.0,2.5,3.0,0.0,0.0,3.2,4.0,2.0,0.0,3.3,1
22,374,3.0,0.0,0.0,1.2,4.0,0.0,0.0,1.9,4.0,0.0,0.0,1.8,1
23,386,0.0,2.0,0.0,5.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
24,387,3.0,2.0,0.0,3.7,3.0,1.0,0.0,2.5,3.0,1.0,0.0,2.8,0
25,389,4.0,0.0,0.0,2.1,5.0,0.0,0.0,2.0,6.0,0.0,0.0,2.2,1
26,390,5.0,0.0,0.0,1.7,4.0,0.0,0.0,1.4,6.0,0.0,0.0,1.8,1
27,392,1.0,0.0,0.0,1.3,4.0,1.0,0.0,2.9,4.0,1.0,0.0,2.8,0
28,441,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.4,6.0,0.0,0.0,2.2,1
29,442,1.0,1.0,0.0,3.4,0.0,2.0,0.0,5.0,2.0,1.0,0.0,3.2,0
30,443,6.0,0.0,0.0,1.9,5.0,0.0,0.0,2.2,6.0,0.0,0.0,2.2,1
31,444,2.0,0.0,0.0,3.0,4.0,0.0,0.0,1.6,3.0,0.0,0.0,2.4,1
