,student,no_passed_courses_4,no_of_failed_courses_4,no_of_unattempted_courses_4,avg_grade_all_courses_4,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
0,289,0.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,4.2,0.0,2.0,0.0,5.0,0
1,290,6.0,0.0,0.0,2.5,5.0,0.0,0.0,2.4,6.0,0.0,0.0,2.1,6.0,0.0,0.0,2.0,1
2,291,2.0,0.0,0.0,1.5,3.0,0.0,0.0,2.2,8.0,0.0,0.0,1.5,2.0,0.0,0.0,1.6,1
3,292,3.0,0.0,0.0,1.1,3.0,0.0,0.0,1.6,7.0,0.0,0.0,1.3,1.0,0.0,0.0,2.0,1
4,293,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.4,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.6,1
5,294,6.0,0.0,0.0,1.9,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.5,6.0,0.0,0.0,1.8,1
6,317,3.0,0.0,0.0,2.6,3.0,0.0,0.0,2.3,4.0,0.0,0.0,2.3,2.0,0.0,0.0,1.7,1
7,330,5.0,1.0,0.0,3.2,5.0,1.0,0.0,3.2,3.0,2.0,0.0,3.6,7.0,1.0,0.0,3.2,1
8,338,3.0,1.0,0.0,2.9,6.0,1.0,0.0,3.5,6.0,1.0,0.0,3.5,5.0,1.0,0.0,3.3,1
9,339,6.0,0.0,0.0,1.8,6.0,0.0,0.0,3.0,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.2,1
10,341,6.0,0.0,0.0,1.9,6.0,0.0,0.0,1.9,6.0,0.0,0.0,1.6,6.0,0.0,0.0,1.5,1
11,342,4.0,0.0,0.0,2.1,4.0,0.0,0.0,2.8,4.0,0.0,0.0,2.3,4.0,0.0,0.0,2.0,1
12,343,1.0,1.0,0.0,4.2,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
13,345,5.0,0.0,0.0,3.1,2.0,0.0,0.0,2.8,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
14,350,6.0,0.0,0.0,1.5,9.0,0.0,0.0,2.1,5.0,0.0,0.0,1.5,5.0,0.0,0.0,1.4,1
15,354,5.0,0.0,0.0,1.8,5.0,0.0,0.0,1.9,5.0,0.0,0.0,1.8,4.0,0.0,0.0,1.5,1
16,355,1.0,1.0,0.0,4.5,0.0,2.0,0.0,5.0,5.0,0.0,0.0,2.6,5.0,1.0,0.0,2.8,0
17,371,1.0,0.0,0.0,1.3,4.0,0.0,0.0,1.8,4.0,0.0,0.0,1.3,3.0,0.0,0.0,2.0,1
